long_name,pegRatio
AAR Corp.,3.89
"Aerojet Rocketdyne Holdings, Inc.",2.15
Astronics Corporation,-0.65
"AeroVironment, Inc.",2.28
"Axon Enterprise, Inc.",6.63
The Boeing Company,-14.01
"BWX Technologies, Inc.",3.4
"CPI Aerostructures, Inc.",1.67
Ducommun Incorporated,1.34
HEICO Corporation,6.48
"Huntington Ingalls Industries, Inc.",19.33
Hexcel Corporation,3.05
"Intevac, Inc.",-1.11
Kaman Corporation,2.95
"Kratos Defense & Security Solutions, Inc.",36.7
"L3Harris Technologies, Inc.",1.56
Lockheed Martin Corporation,2.73
Moog Inc.,2.01
"Mercury Systems, Inc.",3.09
Northrop Grumman Corporation,2.38
Raytheon Technologies Corporation,0.9
"Virgin Galactic Holdings, Inc.",0.37
"Spirit AeroSystems Holdings, Inc.",0.29
"Smith & Wesson Brands, Inc.",0.28
TransDigm Group Incorporated,3.75
"Triumph Group, Inc.",-1.72
Textron Inc.,0.73
VSE Corporation,4.69
"VirTra, Inc.",0.63
"Woodward, Inc.",3.09
